symbol,entry_time,entry_price,exit_time,exit_price,quantity,direction,realized_pnl,reason
NIFTY22111018100PE,2022-11-04 09:15:43,142.35,2022-11-04 09:15:48,137.5,1,LONG,-4.849999999999994,rotate_exit
NIFTY22111018150CE,2022-11-04 09:15:48,104.85,2022-11-04 09:15:51,102.0,1,LONG,-2.8499999999999943,rotate_exit
NIFTY22111018150PE,2022-11-04 09:15:48,162.8,2022-11-04 09:15:51,163.8,1,LONG,1.0,rotate_exit
NIFTY22111018100CE,2022-11-04 09:15:51,125.75,2022-11-04 09:15:53,125.7,1,LONG,-0.04999999999999716,rotate_exit
NIFTY22111018100PE,2022-11-04 09:15:51,138.15,2022-11-04 09:15:53,136.35,1,LONG,-1.8000000000000114,rotate_exit
NIFTY22111018150CE,2022-11-04 09:15:53,102.0,2022-11-04 09:15:54,101.85,1,LONG,-0.15000000000000568,rotate_exit
NIFTY22111018150PE,2022-11-04 09:15:53,162.4,2022-11-04 09:15:54,162.15,1,LONG,-0.25,rotate_exit
NIFTY22111018100CE,2022-11-04 09:15:54,126.2,2022-11-04 09:15:55,125.9,1,LONG,-0.29999999999999716,rotate_exit
NIFTY22111018100PE,2022-11-04 09:15:54,136.35,2022-11-04 09:15:55,136.5,1,LONG,0.15000000000000568,rotate_exit
NIFTY22111018150CE,2022-11-04 09:15:55,102.2,2022-11-04 09:15:56,102.2,1,LONG,0.0,rotate_exit
NIFTY22111018150PE,2022-11-04 09:15:55,162.4,2022-11-04 09:15:56,163.1,1,LONG,0.6999999999999886,rotate_exit
NIFTY22111018100CE,2022-11-04 09:15:56,125.9,2022-11-04 09:16:03,122.85,1,LONG,-3.0500000000000114,rotate_exit
NIFTY22111018100PE,2022-11-04 09:15:56,136.95,2022-11-04 09:16:03,135.65,1,LONG,-1.299999999999983,rotate_exit
NIFTY22111018150CE,2022-11-04 09:16:03,98.1,2022-11-04 09:21:13,96.2,1,LONG,-1.8999999999999915,rotate_exit
NIFTY22111018150PE,2022-11-04 09:16:03,161.1,2022-11-04 09:21:13,155.5,1,LONG,-5.599999999999994,rotate_exit
NIFTY22111018100CE,2022-11-04 09:21:13,119.8,2022-11-04 09:21:18,120.15,1,LONG,0.3500000000000085,rotate_exit
NIFTY22111018100PE,2022-11-04 09:21:13,129.95,2022-11-04 09:21:18,130.15,1,LONG,0.20000000000001705,rotate_exit
NIFTY22111018150CE,2022-11-04 09:21:18,96.0,2022-11-04 09:21:19,96.2,1,LONG,0.20000000000000284,rotate_exit
NIFTY22111018150PE,2022-11-04 09:21:18,156.2,2022-11-04 09:21:19,156.95,1,LONG,0.75,rotate_exit
NIFTY22111018100CE,2022-11-04 09:21:19,120.0,2022-11-04 09:29:31,119.15,1,LONG,-0.8499999999999943,rotate_exit
NIFTY22111018100PE,2022-11-04 09:21:19,130.5,2022-11-04 09:29:31,133.15,1,LONG,2.6500000000000057,rotate_exit
NIFTY22111018150CE,2022-11-04 09:29:31,95.65,2022-11-04 09:32:10,94.1,1,LONG,-1.5500000000000114,rotate_exit
NIFTY22111018150PE,2022-11-04 09:29:31,159.0,2022-11-04 09:32:10,156.4,1,LONG,-2.5999999999999943,rotate_exit
